Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1287	2024	16	19.4	18.1	15.7	16.2	13	13.6	12.1	-	-	-	-	-	-
1287	2024	33	3.6	3.1	3.5	3.2	3.4	3.2	2.9	-	-	-	-	-	-
1287	2024	60	4	2	9	6	9	9	10	-	-	-	-	-	-
1287	2024	61	2	1.3	2.2	1.8	1.7	1.8	2	-	-	-	-	-	-
1962	2024	0	28.4	43.8	68.6	81.6	141.2	117.4	115.8	-	-	-	-	-	-
1962	2024	2	21.6	20.5	17.8	17	13.1	13.4	11.6	-	-	-	-	-	-
1962	2024	16	18.6	17.6	15.5	15.7	12.6	13.1	11.7	-	-	-	-	-	-
1962	2024	33	4.2	4.3	4.7	4.1	4.1	3.5	3.4	-	-	-	-	-	-
1962	2024	60	6	5	12	10	14	9	10	-	-	-	-	-	-
1962	2024	61	1.9	1.3	2	1.8	1.8	1.7	1.9	-	-	-	-	-	-
