Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh),Export prices,Export volumes,Export values,Import prices,Import volumes,Import values,Population
2012-12-01,90.33333333333333,17.533333333333335,15.433333333333332,5.566666666666667,17.0,2.9333333333333336,2012.0,12.0,1/12/12,255.062,160.572,1036,1298,"10,913",896,1795,"11,545",303300.0
2013-01-01,56.0,18.066666666666666,15.0,5.633333333333333,20.0,2.033333333333333,2013.0,1.0,1/01/13,261.592,149.812,1056,1305,"11,183",877,1625,"10,223",304800.0
2013-02-01,37.666666666666664,17.900000000000002,14.666666666666666,5.0,12.666666666666666,1.9333333333333336,2013.0,2.0,1/02/13,247.683,136.481,1056,1305,"11,183",877,1625,"10,223",304800.0
2013-03-01,58.666666666666664,17.366666666666667,14.799999999999999,4.5,13.333333333333334,1.8333333333333333,2013.0,3.0,1/03/13,266.86,153.757,1056,1305,"11,183",877,1625,"10,223",304800.0
2013-04-01,99.83333333333333,15.700000000000001,14.233333333333334,5.233333333333333,18.333333333333332,2.2333333333333334,2013.0,4.0,1/04/13,251.339,169.168,1089,1307,"11,550",864,1752,"10,858",304800.0
2013-05-01,128.13333333333333,12.299999999999999,11.766666666666666,4.466666666666666,10.5,2.233333333333333,2013.0,5.0,1/05/13,271.693,208.09,1089,1307,"11,550",864,1752,"10,858",304800.0
2013-06-01,144.29999999999998,10.4,10.666666666666666,5.0,11.5,2.466666666666667,2013.0,6.0,1/06/13,261.057,239.24,1089,1307,"11,550",864,1752,"10,858",304800.0
2013-07-01,82.9,10.233333333333334,10.366666666666667,5.233333333333333,17.5,2.033333333333333,2013.0,7.0,1/07/13,263.712,256.058,1185,1083,"10,416",875,1997,"12,536",304800.0
2013-08-01,74.39999999999999,11.566666666666668,11.166666666666666,4.933333333333334,18.5,1.4666666666666668,2013.0,8.0,1/08/13,260.65,235.861,1185,1083,"10,416",875,1997,"12,536",304800.0
2013-09-01,125.06666666666668,11.866666666666667,11.466666666666667,6.366666666666667,22.333333333333332,2.4,2013.0,9.0,1/09/13,263.324,212.477,1185,1083,"10,416",875,1997,"12,536",304800.0
