Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2016-04-01,7339,23.6,12.2,9.8,3.3,14,2.4
2016-08-01,7339,49.2,5.6,7,2.3,7,3.1
2016-12-01,7339,38.4,14.2,10.6,4.2,17,2.8
2016-02-01,7339,38,17.8,13.4,3,10,3
2016-01-01,7339,65.8,14.4,12.2,3.5,14,2.6
2016-07-01,7339,60,5,6.1,3.6,17,2.7
2016-06-01,7339,21.8,6.8,7.4,2.5,11,2.8
2016-03-01,7339,-,14.5,11.8,2.6,-,3.6
2016-05-01,7339,145.2,9.5,8.7,3.3,16,3.6
2016-11-01,7339,122.8,12.4,11,3.7,16,2.6
2016-10-01,7339,95.4,11.3,10.4,2.9,12,2
2016-09-01,7339,29.6,9.1,9.1,3.2,10,2.1
2017-04-01,7339,77.4,11.6,11.5,2.6,7,2.3
2017-08-01,7339,-,7.9,8.2,2.4,7,2.7
2017-12-01,7339,48.4,16.7,13.4,3.2,6,3.1
2017-02-01,7339,28.6,14.6,12.3,2.7,7,3.1
2017-01-01,7339,134,13.7,11.2,4.5,24,2.4
2017-07-01,7339,-,4.5,6.8,2.5,7,2
2017-06-01,7339,47.8,5.4,6.9,2.4,9,2.3
2017-03-01,7339,51.4,12.3,10.7,2.5,-,2.3
2017-05-01,7339,48.6,6.9,7.9,2.5,8,2
2017-11-01,7339,27.2,13.7,11.4,3.2,10,2.6
2017-10-01,7339,18.6,11.4,9.9,3.6,-,2.3
2017-09-01,7339,48,9.9,9.6,3.9,10,2.6
2018-04-01,7339,-,10.8,9.6,3.6,-,3
2018-08-01,7339,30.8,6.4,7.5,2,6,1.6
2018-12-01,7339,-,15.6,13.3,3.3,8,3.3
2018-02-01,7339,135.2,15,12.9,3.3,10,2.8
2018-01-01,7339,61.2,19.1,16.1,3.1,8,3.1
2018-07-01,7339,42,6.3,7.1,2.8,12,2.4
2018-06-01,7339,32.4,4.9,7,2.5,9,2.2
2018-03-01,7339,50.4,14.7,12.5,2.8,7,3.2
2018-05-01,7339,32.2,7.2,7.4,2.9,13,3.3
2018-11-01,7339,-,12.5,11.6,4.1,14,2.6
2018-10-01,7339,72.2,10.8,10,3.1,17,3
2018-09-01,7339,46,8.6,8.4,3.2,9,2.3
2019-04-01,7339,64,10.2,9.7,2.6,5,2.4
2019-08-01,7339,34.6,6.5,7,3.5,13,1.7
2019-12-01,7339,131,13.9,11.4,3.6,17,2.5
2019-02-01,7339,15.2,15.4,12.3,3.6,14,3.6
2019-01-01,7339,80.8,16.7,13.6,3.2,16,2.5
2019-07-01,7339,35.6,5.6,7.3,2.5,9,2
2019-06-01,7339,30.8,5.9,6.8,2.8,7,1.7
2019-03-01,7339,21.8,15.5,12.8,2.6,6,3
2019-05-01,7339,60,9.8,9.1,3.1,14,1.9
2019-11-01,7339,89.8,14.2,11.2,3.7,17,3
2019-10-01,7339,104.4,9.6,9.3,4.2,20,2.2
2019-09-01,7339,33.6,8,8.2,3.4,13,2.2
2020-04-01,7339,18.2,10.8,9.5,3.1,13,2.4
2020-08-01,7339,25.4,7.7,8.2,2.7,12,2.5
2020-12-01,7339,54.2,13.6,11.3,3.9,13,2.4
2020-02-01,7339,112.4,16,13.2,3.4,11,2.3
2020-01-01,7339,28.8,15.3,12.7,3.7,12,2.7
2020-07-01,7339,47.2,5.1,6.8,2.8,8,2.1
2020-06-01,7339,41,5.1,6.6,2.4,8,2.6
2020-03-01,7339,33.8,12.3,11,3,-,3
2020-05-01,7339,11.4,7.3,7.4,1.8,4,2.8
2020-11-01,7339,67.2,12.9,11.1,3.5,11,2.6
2020-10-01,7339,45,10.9,9.8,3.4,11,3.4
2020-09-01,7339,29.4,8.4,8,3.7,19,2.8
2021-04-01,7339,12.4,11.3,9.9,2.6,7,2.5
2021-08-01,7339,35.4,7.3,7.4,3.1,14,2.9
2021-12-01,7339,85.2,14.7,12.2,3.4,9,2.7
2021-02-01,7339,20.4,14.7,13.1,2.5,4,2.9
2021-01-01,7339,108.8,15.3,12.9,3.8,15,2.8
2021-07-01,7339,36.2,5.3,6.6,2.6,7,2.1
2021-06-01,7339,69.2,6.5,7.7,2.2,6,2.2
2021-03-01,7339,15.2,14.2,11.8,2.9,11,2.9
2021-05-01,7339,85,7.2,7.9,2.4,8,3.7
2021-11-01,7339,57,13.2,11.1,3.2,8,2.8
2021-10-01,7339,66.8,11.6,10.4,3.6,10,2.2
2021-09-01,7339,49.6,8.5,8,3.7,17,2.5
2022-04-01,7339,30.4,11.5,10.2,3.3,13,2.2
2022-08-01,7339,25.8,7.5,7.9,2.8,9,3.1
2022-12-01,7339,56,14.4,12.9,3.2,9,2.7
2022-02-01,7339,37.8,14.5,13.2,2.7,4,3.3
2022-01-01,7339,23.2,15.8,13.7,3,8,2.3
2022-07-01,7339,142.8,6,7.5,3.7,15,2.4
2022-06-01,7339,31,5.4,6.7,2.8,16,3
2022-03-01,7339,9,14.1,12.3,2.5,3,2.1
2022-05-01,7339,41.6,9.1,8.9,2.6,11,2.4
2022-11-01,7339,30.2,13.6,11.8,3.3,10,2.5
2022-10-01,7339,65,9.6,9.1,3.2,12,3.2
2022-09-01,7339,30.4,8.5,9,2.9,12,2.5
2023-04-01,7339,44.4,11.3,10.6,3.1,9,2.6
2023-08-01,7339,35.4,6.7,7.2,3.1,13,2.3
2023-12-01,7339,57.2,15.1,12.1,4.4,15,2.7
2023-02-01,7339,51.4,16.7,13.6,3.2,9,3.9
2023-01-01,7339,33,16.4,14,3,7,2.4
2023-07-01,7339,97.8,6.8,7.5,4,16,1.8
2023-06-01,7339,47.6,5.5,7.3,2.3,6,3.5
2023-03-01,7339,94.2,14,11.4,3.3,-,3.2
2023-05-01,7339,36.4,9.8,9.4,2.5,-,2.9
2023-11-01,7339,71.6,12,10.8,3,8,3
2023-10-01,7339,32.6,10.9,8.9,4.2,17,2.6
2023-09-01,7339,51.8,10.2,8.4,4.2,17,2.9
2024-04-01,7339,54,11,9.8,2.4,5,1.9
2024-08-01,7339,-,-,-,-,-,-
2024-12-01,7339,-,-,-,-,-,-
2024-02-01,7339,27.6,15.3,12.2,3.4,13,3.1
2024-01-01,7339,49,16.2,12.7,3.6,16,3.3
2024-07-01,7339,-,6.2,7.1,3.3,-,2.1
2024-06-01,7339,-,6,7.4,2.7,-,2.7
2024-03-01,7339,43.2,12.4,10,3.6,18,2.4
2024-05-01,7339,31.4,6.9,7.9,3.6,17,2.3
2024-11-01,7339,-,-,-,-,-,-
2024-10-01,7339,-,-,-,-,-,-
2024-09-01,7339,-,-,-,-,-,-
2010-04-01,11104,151.2,11.6,11.3,5.5,18,2.3
2010-08-01,11104,70.2,6.9,8.2,3.1,6,2.2
2010-12-01,11104,85.2,14.4,12.2,5.7,20,2.7
2010-02-01,11104,57.4,14.3,13.6,4.9,15,2.7
2010-01-01,11104,118.4,14.1,13.6,5.1,17,2.1
2010-07-01,11104,51.2,5.5,7.3,3,7,1.9
2010-06-01,11104,81.8,5.1,7.2,3.3,10,2.2
2010-03-01,11104,118,12.9,12.5,6.3,-,2.5
2010-05-01,11104,66,7.9,9.3,3.4,9,2
2010-11-01,11104,58.8,13.8,12.4,4.1,12,2.9
2010-10-01,11104,81.6,10.5,9.8,5.4,17,2.2
2010-09-01,11104,192.2,8.1,8.7,5.9,21,2.8
2011-04-01,11104,71,10.1,10.1,4.4,-,2.5
2011-08-01,11104,74,6.6,8.1,5,20,2.3
