Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2023-10-01,2283,64.8,13,12.5,5.8,17,2.2
2023-09-01,2283,155,12.6,12.3,6,18,1.7
2024-04-01,2283,202.2,14.7,14,4.6,9,2.2
2024-08-01,2283,-,-,-,-,-,-
2024-12-01,2283,-,-,-,-,-,-
2024-02-01,2283,55.4,17.5,16.2,5,13,2
2024-01-01,2283,92.8,19.2,17.9,4.6,11,2.6
2024-07-01,2283,105.2,9.9,10.6,4.6,14,1.8
2024-06-01,2283,121.2,11.3,11.2,4.4,11,1.7
2024-03-01,2283,75.2,15.6,14.1,5.7,21,2.3
2024-05-01,2283,77,11.3,11.1,5,16,1.8
2024-11-01,2283,-,-,-,-,-,-
2024-10-01,2283,-,-,-,-,-,-
2024-09-01,2283,-,-,-,-,-,-
2010-04-01,3243,43.6,13.9,13.6,3.9,12,2.2
2010-08-01,3243,118,10.4,11.4,3.1,11,1.9
2010-12-01,3243,67.6,18.2,15.8,4.4,16,2.2
2010-02-01,3243,47.6,18.9,18,3.6,8,1.8
2010-01-01,3243,70.8,17.5,15.3,4.2,15,2.5
2010-07-01,3243,43.2,8,9.3,3,5,2.3
2010-06-01,3243,113.2,9.5,10.6,3.3,10,2.1
2010-03-01,3243,38,16.2,13.9,4.6,19,2.4
2010-05-01,3243,54.4,11.6,12.3,3.2,11,2.5
2010-11-01,3243,48.3,14.8,13.4,3.4,8,2.6
2010-10-01,3243,42.2,12.4,11.9,4.6,17,1.8
2010-09-01,3243,240.9,11.7,12.1,5.7,24,2.3
2011-04-01,3243,111.8,13.3,12.9,3.8,10,2.3
2011-08-01,3243,66.6,8.5,10.1,3.2,12,2.7
2011-12-01,3243,111.6,17.1,14.2,3.6,-,2.3
2011-02-01,3243,29,19.6,17.4,4.6,12,1.9
2011-01-01,3243,91.6,18.4,15.1,4.9,17,2.4
2011-07-01,3243,130.6,8.4,9.3,4.7,18,2.4
2011-06-01,3243,94.8,10.6,11.2,3.3,7,2.3
2011-03-01,3243,139.6,16.2,14.8,3.7,13,2.3
2011-05-01,3243,82.2,13.5,13.7,4,14,2.2
2011-11-01,3243,139.4,14.4,12.7,5.5,22,1.6
2011-10-01,3243,141.8,13.4,12.7,3.7,13,2.1
2011-09-01,3243,41,10.2,10.2,4.1,15,1.4
2012-04-01,3243,30.6,14.2,12.6,3.6,7,2.4
2012-08-01,3243,90.6,10.5,10.6,3.2,7,1.2
2012-12-01,3243,127.2,18.1,15.2,4.4,17,3.2
2012-02-01,3243,75.4,17.2,14.5,4.2,11,2
2012-01-01,3243,80.6,17.2,14.8,4.6,16,2
2012-07-01,3243,116.2,9,9.4,3.6,10,2.3
2012-06-01,3243,74.6,8.7,9.4,3.6,12,2.9
2012-03-01,3243,50.2,15.8,13.5,4.4,15,2.5
2012-05-01,3243,56.2,9.9,10.4,2.9,5,2.6
2012-11-01,3243,36.6,12.9,11.4,4.1,16,2.1
2012-10-01,3243,75.8,12.3,11.3,5.3,23,1.8
2012-09-01,3243,74.8,11,10.2,4.5,13,2.5
2013-04-01,3243,111.4,15.4,14,4.3,16,2.6
2013-08-01,3243,60,11.1,10.9,4.1,17,1.4
2013-12-01,3243,63.4,17.2,15,3.9,13,1.9
2013-02-01,3243,29.4,18.3,14,3.5,10,2.1
2013-01-01,3243,37.6,18.2,14.6,4.6,-,2.5
2013-07-01,3243,51.8,9.9,10.1,3.8,11,2.3
2013-06-01,3243,86.3,9.8,10.1,3.1,7,2.7
2013-03-01,3243,49.6,17.5,14.1,3.1,7,1.8
2013-05-01,3243,33.3,11.5,11.2,2.8,6,2.8
2013-11-01,3243,64.2,16.2,13.9,4.1,13,2
2013-10-01,3243,123.4,13.6,12.5,4.8,18,1.9
2013-09-01,3243,136.4,11.8,11.5,4.7,16,2.7
2014-04-01,3243,99.6,16,14.5,4.1,11,2.6
2014-08-01,3243,90.2,9,9.4,4,14,2.6
2014-12-01,3243,102,16.9,14.9,4.4,15,2.9
2014-02-01,3243,22,18.7,14.8,4.7,15,1.7
2014-01-01,3243,60,16.2,13.9,4.8,20,1.8
2014-07-01,3243,18.6,8.2,9,3.7,9,2.9
2014-06-01,3243,73.2,11,11.1,3.7,11,1.9
2014-03-01,3243,10.6,16.4,13.4,3.9,11,2.8
2014-05-01,3243,102.4,11.8,11.9,3.8,-,2.9
2014-11-01,3243,98.6,13.5,12,5.8,21,2.2
2014-10-01,3243,-,12.6,11.8,4.9,17,2.1
2014-09-01,3243,85.8,12,11.2,4.5,15,2
2015-04-01,3243,252.2,14.8,13.5,3.6,14,2.8
2015-08-01,3243,94.8,9.4,10.2,3.4,11,2.6
2015-12-01,3243,47.2,16.1,13.5,4.5,13,2.1
2015-02-01,3243,97,17.8,14.8,4.3,12,2.2
2015-01-01,3243,11.4,19.5,15.7,4,13,2.1
2015-07-01,3243,-,8.1,9.2,2.8,9,2.5
2015-06-01,3243,273.8,9.7,10.2,4.6,19,2.5
2015-03-01,3243,78.4,17.9,15.6,3.3,5,2.2
2015-05-01,3243,160.6,11.5,11.3,3.3,11,3.4
2015-11-01,3243,65,13.8,12.5,4.5,16,2.3
