Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2021-07-01,2112,104.2,8.9,10,3.1,9,2.9
2021-06-01,2112,126.8,11,11.8,2.8,4,3
2021-03-01,2112,172.2,17.4,14.8,2.7,4,1.7
2021-05-01,2112,69.4,11.8,11.9,3,8,3.1
2021-11-01,2112,69.8,17.2,15.8,3.3,5,1.9
2021-10-01,2112,115,14.2,13.7,3.7,9,2.7
2021-09-01,2112,177.6,11.1,11.4,3.6,-,2
2022-04-01,2112,23.4,15.3,14.3,2.8,4,2.8
2022-08-01,2112,-,10.7,11.2,2.9,2,3.1
2022-12-01,2112,103.6,18.6,17.2,3.1,7,2.2
2022-02-01,2112,91.2,20.8,18.2,3.2,6,2.5
2022-01-01,2112,5.6,19.8,16.6,2.9,4,1.3
2022-07-01,2112,228.6,10.9,11.7,3.6,10,2.7
2022-06-01,2112,205,10.9,11.4,3.2,10,2.6
2022-03-01,2112,67,18.4,15,3.2,6,1.4
2022-05-01,2112,180.4,12.6,13.1,2.9,8,2.9
2022-11-01,2112,201.6,16.4,15.7,3.7,11,1.6
2022-10-01,2112,174.2,13.7,12.5,3.2,9,2.8
2022-09-01,2112,162.4,11.5,11.7,3.1,8,2.6
2023-04-01,2112,54.8,15.6,15.1,3.3,7,2.8
2023-08-01,2112,95.6,8.4,9.5,2.7,8,1.8
2023-12-01,2112,89.8,18.5,17.5,3.3,6,2.5
2023-02-01,2112,127.4,19.2,17.6,3.7,7,2
2023-01-01,2112,234.8,19.5,17.8,3.7,11,1.3
2023-07-01,2112,47,10.1,10.4,4.2,17,2.3
2023-06-01,2112,165.6,10.3,10.5,3,5,2.5
2023-03-01,2112,60.6,16,14.9,2.7,2,2.5
2023-05-01,2112,214.2,13.8,14.5,3.5,12,3.5
2023-11-01,2112,-,15.4,14.2,3.4,7,1.9
2023-10-01,2112,73,14,13.2,3.9,14,2.6
2023-09-01,2112,142.4,12.7,12.7,4.1,15,2.1
2024-04-01,2112,62,14.4,14.7,2.6,6,2.6
2024-08-01,2112,-,-,-,-,-,-
2024-12-01,2112,-,-,-,-,-,-
2024-02-01,2112,71.8,18.5,17.2,2.8,3,1.6
2024-01-01,2112,67,20.1,18.7,2.9,5,2.5
2024-07-01,2112,130.4,8.7,10,2.3,-,2.3
2024-06-01,2112,80,10.4,11.6,2.6,6,2.3
2024-03-01,2112,155,15.3,14.8,2.9,8,2.4
2024-05-01,2112,101.8,10.2,11.3,2.6,5,2
2024-11-01,2112,-,-,-,-,-,-
2024-10-01,2112,-,-,-,-,-,-
2024-09-01,2112,-,-,-,-,-,-
2010-04-01,2810,75.4,15.5,14.3,2.7,6,2.1
2010-08-01,2810,100.3,11.6,11.4,2.6,-,2.3
2010-12-01,2810,24.2,18.9,16.2,3.1,8,3.1
2010-02-01,2810,22.8,20,19.1,2.5,3,2
2010-01-01,2810,171,18.9,16.9,3.2,11,2.7
2010-07-01,2810,184.6,9.8,10.2,2.9,-,1.6
2010-06-01,2810,122.7,10.3,10.7,2.7,5,2.3
2010-03-01,2810,21.4,18,15.2,3.1,10,2
2010-05-01,2810,180.2,12.7,13.1,2.1,8,2.1
2010-11-01,2810,37.4,15.1,13.6,3,6,3.3
2010-10-01,2810,199.4,12.9,11.5,3.6,13,2.4
2010-09-01,2810,41,13.8,10.9,4.5,21,2.3
2011-04-01,2810,149.4,14.5,13.9,2.5,6,1.8
2011-08-01,2810,71,9.5,9.5,2.7,7,2.4
2011-12-01,2810,64.4,17.1,14.9,2.4,4,2.4
2011-02-01,2810,86.2,20.9,18.7,2.6,2,3.1
2011-01-01,2810,142.8,20.1,17.1,3.4,9,3.3
2011-07-01,2810,180.2,10.3,9.6,3.8,13,2.5
2011-06-01,2810,74.8,11.2,11.3,2.2,3,2.1
2011-03-01,2810,158.6,17.6,16.1,2.6,5,2.4
